"TnB","TcmB","TemB","TeffB","CD19.B","TnP","TcmP","TemP","TeffP","CD19.P","t"
0,1.4e+08,0,0,0,0,0,0,0,5e+11,0
0,139989800,0,0,0,0,10000,0,0,499999999910,0.000199845152025125
0,139989800,0,0,0,0,10000,0,0,499999999810,0.00020174701938571
0,139989800,0,0,0,0,10000,0,0,499999999710,0.000203239620670469
0,139989800,0,0,0,0,10000,0,0,499999999610,0.000204572145160389
0,139989800,0,0,0,0,10000,0,0,499999999510,0.000206008779471486
0,139989800,0,0,0,0,10000,0,0,499999999410,0.000207389536902557
0,139989800,0,0,0,0,10000,0,0,499999999310,0.000208922637680227
0,139989800,0,0,0,0,10000,0,0,499999999210,0.000210418783682863
0,139989800,0,0,0,0,10000,0,0,499999999110,0.000212127337121277
0,139989800,0,0,0,0,10000,0,0,499999999010,0.000213779839584606
0,139910406,39993,6,99981,0,50005,8,0,499999689003,0.000982581098622607
0,139880707,69984,15,199950,0,50017,11,0,499999518977,0.00131851526818876
0,139851110,99977,22,199917,0,50025,13,0,500000418953,0.00162465818608584
0,139851213,99969,28,399880,0,50035,18,0,500000108934,0.00184210986982012
0,139851317,99957,36,499832,0,50036,23,0,499999968911,0.00201763055875894
0,139851617,99949,41,699777,0,50039,27,0,499999708890,0.00219179648660608
0,139841918,99947,43,699724,0,60040,32,0,499999658867,0.00233147181079835
0,139831919,109941,47,699673,0,60042,35,0,499999648832,0.00247704773599205
0,139832123,109935,53,699625,0,60045,35,0,499999568807,0.00262629943837529
0,139832325,109933,54,699578,0,60046,38,0,499999478776,0.00275956801828405
0,139711445,189854,124,1997977,0,100116,47,1,500001478371,0.00459222449875888
0,139642475,229734,224,2696776,0,130157,98,1,500000577759,0.00584232055490776
0,139603595,249602,344,3394574,0,150198,148,1,499999777155,0.00666780085068319
0,139553825,279473,434,3592570,0,170210,218,1,499998375952,0.00767240609650259
0,139533465,299371,514,4090970,0,170222,268,1,499998974444,0.00844953625895944
0,139502265,329267,584,4189568,0,170283,368,1,499998172638,0.00929734989510971
0,139451865,359147,653,4387566,0,190373,418,1,499996970234,0.0100185276631019
0,139410785,379052,723,4785861,0,210404,478,1,499996068727,0.0107313108909268
