"TnB","TcmB","TemB","TeffB","CD19.B","TnP","TcmP","TemP","TeffP","CD19.P","t"
0,0,7e+07,7e+07,0,0,0,0,0,5e+11,0
0,0,7e+07,69999000,0,0,0,0,1000,499999999901,4.28148665836783e-05
0,0,69999900,69999000,0,0,0,0,1000,499999999802,5.6336197631226e-05
0,0,69999800,69999000,0,0,0,0,1000,499999999703,7.05488846911847e-05
0,0,69999800,69999000,0,0,0,0,1000,499999999603,8.53421794850343e-05
0,0,69999800,69999000,0,0,0,0,1000,499999999503,9.90925015899322e-05
0,0,69999800,69999000,0,0,0,0,1000,499999999403,0.000113390183330851
0,0,69998800,69999000,0,0,0,1000,1000,499999999304,0.000121121987721672
0,0,69998800,69999000,0,0,0,1000,1000,499999999204,0.000128707180986201
0,0,69998800,69999000,0,0,0,1000,1000,499999999104,0.000135856747556932
0,0,69998800,69999000,0,0,0,1000,1000,499999999004,0.000142186320166195
0,0,69962500,70028000,299942,0,0,7002,2000,499999683004,0.000853545374297932
0,0,69961200,70006000,699878,0,0,8005,4000,500000265004,0.00113543526256775
0,0,69948201,70003000,699804,0,0,11003,7001,500000249004,0.00132267987498356
0,0,69946101,69992000,699734,0,0,13005,8001,500001227004,0.00147932261859292
0,0,69945501,69991000,699667,0,0,14004,9002,500001201004,0.0016721561480077
0,0,69935302,7e+07,699595,0,0,14003,10002,500001178004,0.00182666964978712
0,0,69922302,69989001,799534,0,0,17005,11001,500001052004,0.00197292485299906
0,0,69920202,69979001,799470,0,0,19008,11002,500001025004,0.00211400147650993
0,0,69920402,69968002,799406,0,0,19014,12001,500002001004,0.00224083168732405
0,0,69920502,69956002,1099341,0,0,19013,14002,500001674004,0.00236674594742247
0,0,69877809,69935003,1898141,0,0,31006,25011,500001594004,0.00369895215104535
0,0,69859716,69906007,2096841,0,0,39011,34017,500003984004,0.00475279637075129
0,0,69835223,69895011,2795741,0,0,43031,45028,500002704004,0.00570653963313506
0,0,69809229,69878016,3294341,0,0,49025,52033,500002634004,0.0065549339127654
0,0,69778737,69854021,3793241,0,0,59057,56039,500003524004,0.0073628110627689
0,0,69753943,69849027,4591841,0,0,64047,61047,500002234004,0.00802763025045096
0,0,69710249,69875036,4990341,0,0,67058,65051,500001454004,0.00859036631691172
0,0,69698960,69861045,5088641,0,0,68060,69050,500000834004,0.0092571082957547
0,0,69693662,69855051,5287241,0,0,73083,75059,500001094004,0.00977764199532688
0,0,69686674,69840057,5685941,0,0,80097,80067,500001244004,0.010315898577827
0,0,69632795,69825077,6583941,0,0,93128,95087,500001044004,0.0116073427149174
0,0,69571026,69804087,6978941,0,0,105158,106107,499999544004,0.0130293501061485
0,0,69544746,69773127,7572941,0,0,111200,117127,499997644004,0.0141778249447806
0,0,69503876,69751187,8365941,0,0,122140,129167,499995944004,0.0155311515462024
0,0,69455307,69777227,9158941,0,0,130201,133197,499994444004,0.0169162157934546
0,0,69404157,69756267,9954941,0,0,141192,144217,499991544004,0.0180940672660936
0,0,69376377,69745317,10446941,0,0,148253,155217,499989844004,0.0193674845216801
