"TnB","TcmB","TemB","TeffB","CD19.B","TnP","TcmP","TemP","TeffP","CD19.P","t"
0,0,1.4e+08,0,0,0,0,0,0,5e+11,0
0,0,139980500,10000,199991,0,0,10000,0,499999799918,0.000357861319164743
0,0,139980500,10000,199991,0,0,10000,0,499999799818,0.000359391498992782
0,0,139980500,10000,199991,0,0,10000,0,499999799718,0.000360752987586541
0,0,139980500,10000,199991,0,0,10000,0,499999799618,0.000362463957336611
0,0,139980500,10000,199991,0,0,10000,0,499999799518,0.000364029705263736
0,0,139980500,10000,199991,0,0,10000,0,499999799418,0.000365579590137008
0,0,139980500,10000,199991,0,0,10000,0,499999799318,0.00036689716517452
0,0,139980500,10000,199991,0,0,10000,0,499999799218,0.000368501612957817
0,0,139980500,10000,199991,0,0,10000,0,499999799118,0.000370046169428612
0,0,139980500,10000,199991,0,0,10000,0,499999799018,0.000371610806898674
0,0,139881600,89972,699891,0,0,30003,11,500002248998,0.00149941354621626
0,0,139861403,109943,799791,0,0,30003,19,500002068964,0.00190967876676397
0,0,139831803,129924,799791,0,0,40004,28,500002988908,0.00218454524794444
0,0,139801207,159910,899691,0,0,40002,36,500002838853,0.00240420482434412
0,0,139801507,159892,899690,0,0,40008,41,500003808791,0.002600307515884
0,0,139801807,159877,1099490,0,0,40011,48,500003558733,0.00277317176810152
0,0,139792108,169856,1099490,0,0,40010,53,500003508668,0.00295309717822373
0,0,139772210,179836,1099490,0,0,50004,59,500003458604,0.00312156351701676
0,0,139772213,179824,1199290,0,0,50004,63,500003238539,0.00328367253476441
0,0,139772314,179809,1299190,0,0,50007,69,500003088473,0.00343305961895009
0,0,139712526,229549,1597789,0,0,60075,119,500003187873,0.00487740090073975
0,0,139633143,309299,2097187,0,0,60059,169,500003186973,0.00601673739089772
0,0,139592953,339079,2795984,0,0,70049,259,500001885273,0.00712764533341928
0,0,139552560,368929,2994182,0,0,79982,389,500001182273,0.00801794361861849
0,0,139510569,398739,3293480,0,0,89976,459,500001379673,0.00882445323370111
0,0,139440485,458579,3791976,0,0,100011,479,500000677773,0.00946567433034359
0,0,139429700,468449,4290671,0,0,100047,509,500000674673,0.0101108232649918
0,0,139380214,498269,4689069,0,0,120113,569,500001172473,0.0106690842605823
0,0,139351226,518089,4988063,0,0,130181,599,500001370273,0.0112242539853372
0,0,139300538,567979,5386255,0,0,130229,639,500000667973,0.0116945799695347
0,0,139160068,657459,5983245,0,0,180294,799,500000962973,0.01329045841049
0,0,139080078,727069,6479245,0,0,190398,1009,500000255973,0.0146394923997849
0,0,139008918,786279,7176185,0,0,200330,1219,499999146973,0.0159745051928815
0,0,138929248,835610,7374185,0,0,230371,1458,499997534973,0.0169313107830712
0,0,138868308,875321,7574165,0,0,250454,1627,499997021973,0.0179161173927517
0,0,138768548,954821,8370165,0,0,270516,1797,499995210973,0.0188499792512842
0,0,138745708,964361,8767135,0,0,280607,1907,499994196973,0.019718652305734
0,0,138704958,993802,9061085,0,0,290577,2056,499993084973,0.0205104927586862
0,0,138684209,1013432,9359055,0,0,290679,2206,499990172973,0.0214799444173996
0,0,138612150,1083152,9757015,0,0,290811,2336,499988359973,0.0222966844293904
0,0,138479230,1182353,10450955,0,0,320640,3035,499986629973,0.0240146777662942
0,0,138387700,1271055,11335905,0,0,320976,3533,499981679973,0.0260096831386457
0,0,138247670,1400055,12126785,0,0,331008,4033,499977849973,0.0275777211867725
0,0,138149180,1468156,12813675,0,0,360499,5032,499978109973,0.0290666034100611
