"TnB","TcmB","TemB","TeffB","CD19.B","TnP","TcmP","TemP","TeffP","CD19.P","t"
0,69126649,69040504,1167447,20188229,0,309099,334010,4714,499962122305,0.0405959675368484
0,69117969,69015955,1186447,20675149,0,318030,339003,5324,499958592305,0.0414496504678537
0,69103679,69000195,1205747,21465079,0,321952,345024,5434,499953762305,0.0422123695977891
0,69094449,68982825,1215348,21954989,0,330954,351905,5653,499948252305,0.0429037821665099
0,69081299,68959385,1244649,22342919,0,334017,354948,5942,499944822305,0.043615126799774
0,69053139,68962065,1254250,22924819,0,342140,362010,6141,499941192305,0.0444657123434612
0,69026110,68955405,1273750,23117819,0,349425,369023,6441,499937952305,0.0453577665012732
0,69013840,68940045,1283052,23604819,0,361526,375059,6539,499935392305,0.0462565645729865
0,68986571,68931635,1302052,23698819,0,368861,383310,6539,499931252305,0.0471456569155255
0,68965111,68934185,1301053,24187819,0,379853,390633,6738,499929712305,0.0479484863900259
0,68940431,68917965,1330353,24675719,0,384898,396595,7038,499926152305,0.0489623794399894
0,68935271,68889545,1349356,24967719,0,389922,404762,7135,499920802305,0.0499694839878415
0,68920021,68882515,1358456,25558419,0,395166,412004,7235,499915112305,0.0508901873401533
0,68898381,68866585,1377756,25843319,0,407268,418079,7535,499911792305,0.0519115097871168
0,68879862,68853355,1397458,26133219,0,416209,420893,8033,499906432305,0.0528441561247135
0,68861442,68825595,1426460,26725219,0,424461,428928,8231,499900812305,0.0537047509566028
0,68856572,68757415,1485760,27216119,0,429355,436991,8631,499897262305,0.0545103926390745
0,68851612,68710965,1525361,28008719,0,434646,443713,9230,499892412305,0.0552765169700984
0,68845432,68692615,1534961,28388719,0,440689,451607,9530,499888972305,0.0560870635520847
0,68840072,68643375,1573961,28877719,0,445960,461041,9830,499885412305,0.0567906040363475
0,68832012,68635495,1573561,28964619,0,453983,468966,10030,499888272305,0.0576217219121887
0,68815082,68618465,1593063,29652419,0,461196,475617,10328,499884522305,0.058487441803973
0,68795042,68575795,1642365,30142319,0,471322,478811,10426,499881002305,0.0593206601564999
0,68779932,68571655,1651667,30528119,0,476255,483032,10624,499876542305,0.0601856092280967
0,68778142,68567725,1650368,30719919,0,478069,487045,11023,499871312305,0.0609424893752077
0,68762972,68554985,1669272,31107819,0,483142,490089,11119,499869812305,0.0617274372180781
0,68734332,68549866,1688473,31191719,0,491425,495071,11418,499864692305,0.0623978040033762
0,68729512,68535606,1697375,31678519,0,496286,499293,11716,499861122305,0.0631826327081833
0,68710273,68502557,1736378,32267319,0,505211,502166,12113,499859522305,0.0639360148052197
0,68695313,68486737,1755481,32653119,0,510367,508197,12310,499855062305,0.064670045393586
0,68662153,68503187,1764682,33344119,0,513439,511337,12609,499850282305,0.0653392224718724
0,68637023,68505628,1773883,33836019,0,518682,518288,12808,499841742305,0.0659849853086156
0,68628954,68494428,1773283,34322719,0,526605,529340,12808,499837152305,0.0668000189995811
0,68609884,68489338,1782584,34609719,0,536049,534061,13307,499830812305,0.0675164361723198
0,68606925,68442528,1821886,34897319,0,539260,541425,13405,499827482305,0.0682089050101936
0,68601876,68397278,1860887,35178219,0,544311,546678,13704,499824082305,0.0689910931357551
0,68586116,68380918,1880187,35569119,0,549273,552939,13804,499818622305,0.0697160561513501
0,68552686,68387339,1898890,35855819,0,552004,556919,14401,499816282305,0.0704745812099334
0,68551636,68371190,1907792,36240519,0,553157,562874,14799,499815772305,0.0711927349384099
0,68537187,68334590,1946792,36633419,0,557311,570177,14999,499813282305,0.0718180598692842
0,68527547,68319001,1955594,37222219,0,567352,575169,15397,499805632305,0.0726191642439626
0,68507867,68308461,1965095,37615119,0,577335,585015,15596,499796192305,0.0733057580464706
0,68491727,68301252,1973997,37594719,0,583377,592230,15794,499789182305,0.0739620433970424
0,68452448,68324062,1973501,37878619,0,592559,599025,16290,499789852305,0.0746601423493885
0,68437738,68320633,1982404,38163219,0,597471,602057,16587,499786452305,0.0753564465165771
0,68402738,68325133,2001306,38349719,0,603475,608060,16685,499783152305,0.0763827032875601
0,68397438,68313433,1999808,39032319,0,608677,619265,17383,499778152305,0.077392098171302
0,68388238,68297734,2007611,39811119,0,618480,625470,17780,499768152305,0.0783616210300544
